"DB_Class_Key","Symbol_human","GeneID_human","Symbol_mouse","GeneID_mouse"
"47998386","TLE5","166","Tle5","14797"
"47998387","VDR","7421","Vdr","22337"
"47998388","NME1","4830","Nme1","18102"
"47998389","NME1-NME2","654364","Nme2","18103"
"47998389","NME2","4831","Nme2","18103"
"47998389","NME2P1","283458","Nme2","18103"
"47998390","NME3","4832","Nme3","79059"
"47998391","NME7","29922","Nme7","171567"
"47998392","TWIST1","7291","Twist1","22160"
"47998393","PCNA","5111","Pcna","18538"
"47998394","IGF2BP3","10643","Igf2bp3","140488"
"47998395","TNNT3","7140","Tnnt3","21957"
"47998396","MYH13","8735","Myh13","544791"
"47998397","MYH3","4621","Myh3","17883"
"47998398","MYH8","4626","Myh8","17885"
"47998399","MYH1","4619","Myh1","17879"
"47998400","MYH2","4620","Myh2","17882"
"47998401","MYH4","4622","Myh4","17884"
"47998402","MYL1","4632","Myl1","17901"
"47998403","FZD8","8325","Fzd8","14370"
"47998404","HOXC9","3225","Hoxc9","15427"
"47998405","ACTB","60","Actb","11461"
"47998406","ACTG1","71","Actg1","11465"
"47998407","HACD4","401494","Hacd4","66775"
"47998408","HOXC12","3228","Hoxc12","15421"
"47998409","HOXB7","3217","Hoxb7","15415"
"47998410","NOTCH2","4853","Notch2","18129"
"47998411","NOTCH3","4854","Notch3","18131"
"47998412","ACTN3","89","Actn3","11474"
"47998413","OR10J3","441911","Or10j3b","258881"
"47998414","OR5K4","403278","Or5k17","259001"
"47998415","OR4A16","81327","Or4a68","258804"
"47998416","OR5K1","26339","Or5k1","259002"
"47998416","OR5K2","402135","Or5k1","259002"
"47998417","OR5K1","26339","Or5k1b","259003"
"47998417","OR5K2","402135","Or5k1b","259003"
"47998418","OR12D3","81797","Or12d17","258832"
"47998419","OR4A16","81327","Or4a72","258784"
"47998420","OR12D1","26530","Or12d14-ps1","257948"
"47998420","OR12D2","26529","Or12d14-ps1","257948"
"47998421","OR10K2","391107","Or10k2","258267"
"47998422","OR12D1","26530","Or12d16-ps1","257925"
"47998422","OR12D2","26529","Or12d16-ps1","257925"
"47998423","OR12D1","26530","Or12d15","257893"
"47998423","OR12D2","26529","Or12d15","257893"
"47998424","OR4E1","26687","Or4e5","57269"
"47998425","OR4E2","26686","Or4e2","57271"
"47998426","OR4E1","26687","Or4e1","57270"
"47998427","OR7C1","26664","Or7c70","258305"
"47998427","OR7C2","26658","Or7c70","258305"
"47998428","TRPC4AP","26133","Trpc4ap","56407"
"47998429","CDC25B","994","Cdc25b","12531"
"47998430","CDC25C","995","Cdc25c","12532"
"47998431","CDC25A","993","Cdc25a","12530"
"47998432","BLCAP","10904","Blcap","53619"
"47998433","COIL","8161","Coil","12812"
"47998434","PSEN2","5664","Psen2","19165"
"47998435","AXIN1","8312","Axin1","12005"
"47998436","AXIN2","8313","Axin2","12006"
"47998437","PBX1","5087","Pbx1","18514"
"47998438","PBX3","5090","Pbx3","18516"
"47998439","PBX2","5089","Pbx2","18515"
"47998440","DAZ1","1617","Dazl","13164"
"47998440","DAZ2","57055","Dazl","13164"
"47998440","DAZ3","57054","Dazl","13164"
"47998440","DAZ4","57135","Dazl","13164"
"47998440","DAZL","1618","Dazl","13164"
"47998441","PITPNM3","83394","Pitpnm3","327958"
"47998442","MESP1","55897","Mesp1","17292"
"47998443","MESP2","145873","Mesp2","17293"
"47998444","BDNF","627","Bdnf","12064"
"47998445","FN1","2335","Fn1","14268"
"47998446","MBL2","4153","Mbl2","17195"
"47998447","MBL1P","8512","Mbl1","17194"
"47998448","SFTPD","6441","Sftpd","20390"
"47998449","P2RX3","5024","P2rx3","228139"
"47998450","SPON1","10418","Spon1","233744"
"47998451","CELF3","11189","Celf3","78784"
"47998452","BMPR1A","657","Bmpr1a","12166"
"47998453","DCT","1638","Dct","13190"
"47998454","SMAD3","4088","Smad3","17127"
"47998455","RHEB","6009","Rheb","19744"
"47998456","RHEBL1","121268","Rhebl1","69159"
"47998457","HAND2","9464","Hand2","15111"
"47998458","PYCARD","29108","Pycard","66824"
"47998459","DAP","1611","Dap","223453"
"47998460","DAPL1","92196","Dapl1","76747"
"47998461","TRADD","8717","Tradd","71609"
"47998462","BAX","581","Bax","12028"
"47998463","FBXW4","6468","Fbxw4","30838"
"47998464","POU4F1","5457","Pou4f1","18996"
"47998465","COPZ2","51226","Copz2","56358"
"47998466","HEY2","23493","Hey2","15214"
"47998467","CTSK","1513","Ctsk","13038"
"47998468","PCDH18","54510","Pcdh18","73173"
"47998469","SLC7A6","9057","Slc7a6","330836"
"47998470","ADGRL2","23266","Adgrl2","99633"
"47998471","KAT6B","23522","Kat6b","54169"
"47998472","EVL","51466","Evl","14026"
"47998473","HEY1","23462","Hey1","15213"
"47998474","NOC2L","26155","Noc2l","57741"
"47998475","HCCS","3052","Hccs","15159"
"47998476","WWP2","11060","Wwp2","66894"
"47998477","RUNX3","864","Runx3","12399"
"47998478","KRT77","374454","Krt77","406220"
"47998479","KRT74","121391","Krt74","406222"
"47998480","KRT6A","3853","Gm5414","406223"
"47998480","KRT6B","3854","Gm5414","406223"
"47998480","KRT6C","286887","Gm5414","406223"
"47998481","KRT6A","3853","Gm5478","432987"
"47998481","KRT6B","3854","Gm5478","432987"
"47998481","KRT6C","286887","Gm5478","432987"
"47998482","KRT71","112802","Krt71","56735"
"47998483","KRT2","3849","Krt2","16681"
"47998484","KRT79","338785","Krt79","223917"
"47998485","KRT1","3848","Krt1","16678"
"47998486","KRT6A","3853","Krt6b","16688"
"47998486","KRT6B","3854","Krt6b","16688"
"47998486","KRT6C","286887","Krt6b","16688"
"47998487","KRT4","3851","Krt4","16682"
"47998488","KRT6A","3853","Krt6a","16687"
"47998488","KRT6B","3854","Krt6a","16687"
"47998488","KRT6C","286887","Krt6a","16687"
"47998489","KRT72","140807","Krt72","105866"
"47998490","KRT75","9119","Krt75","109052"
"47998491","KRT76","51350","Krt76","77055"
"47998492","KRT73","319101","Krt73","223915"
"47998493","KRT90P","85340","Krt90","239673"
"47998494","KRT8","3856","Krt8","16691"
"47998495","KRT7","3855","Krt7","110310"
"47998496","BAD","572","Bad","12015"
"47998497","LSM2","57819","Lsm2","27756"
"47998498","STK19","8859","Stk19","54402"
"47998499","APP","351","App","11820"
"47998500","GART","2618","Gart","14450"
"47998501","FOXH1","8928","Foxh1","14106"
"47998502","HSF1","3297","Hsf1","15499"
"47998503","DEDD2","162989","Dedd2","67379"
"47998504","CASP12","100506742","Casp12","12364"
"47998505","CASP4","837","Casp4","12363"
"47998505","CASP5","838","Casp4","12363"
"47998506","CASP1","834","Casp1","12362"
"47998507","APAF1","317","Apaf1","11783"
"47998508","MYF5","4617","Myf5","17877"
"47998509","PRPH2","5961","Prph2","19133"
"47998510","CXCL14","9547","Cxcl14","57266"
"47998511","GATA6","2627","Gata6","14465"
"47998512","TNNT2","7139","Tnnt2","21956"
"47998513","FABP7","2173","Fabp7","12140"
"47998514","RPLP0","6175","Rplp0","11837"
"47998514","RPLP0P6","220717","Rplp0","11837"
"47998515","NGF","4803","Ngf","18049"
"47998516","YBX1","4904","Ybx1","22608"
"47998517","GPR173","54328","Gpr173","70771"
"47998518","GPR85","54329","Gpr85","64450"
"47998519","NME6","10201","Nme6","54369"
"47998520","ZIC2","7546","Zic2","22772"
"47998521","DUXB","100033411","Duxbl1","278672"
"47998522","CASP8","841","Casp8","12370"
"47998523","PER3","8863","Per3","18628"
"47998524","FGFR3","2261","Fgfr3","14184"
"47998525","HOXC6","3223","Hoxc6","15425"
"47998526","HOXD1","3231","Hoxd1","15429"
"47998527","HOXC11","3227","Hoxc11","109663"
"47998528","HOXC13","3229","Hoxc13","15422"
"47998529","HOXA9","3205","Hoxa9","15405"
"47998530","HOXA3","3200","Hoxa3","15400"
"47998531","HOXA4","3201","Hoxa4","15401"
"47998532","HOXA1","3198","Hoxa1","15394"
"47998533","HOXB5","3215","Hoxb5","15413"
"47998534","HOXB6","3216","Hoxb6","15414"
"47998535","HOXA11","3207","Hoxa11","15396"
"47998536","HOXA5","3202","Hoxa5","15402"
"47998537","SCN8A","6334","Scn8a","20273"
"47998538","NKX2-4","644524","Nkx2-4","228731"
"47998539","ADARB1","104","Adarb1","110532"
"47998540","PC","5091","Pcx","18563"
"47998541","FTH1P19","389844","Fthl17f","434729"
"47998541","FTHL17","53940","Fthl17f","434729"
"47998542","FTH1P19","389844","Fthl17b","434726"
"47998542","FTHL17","53940","Fthl17b","434726"
"47998543","FTH1P19","389844","Fthl17c","434727"
"47998543","FTHL17","53940","Fthl17c","434727"
"47998544","FTH1P19","389844","Fthl17d","100042782"
"47998544","FTHL17","53940","Fthl17d","100042782"
"47998545","FTH1P19","389844","Fthl17a","71996"
"47998545","FTHL17","53940","Fthl17a","71996"
"47998546","FTH1","2495","Fth1","14319"
"47998547","FTMT","94033","Ftmt","67634"
"47998548","FTH1P19","389844","Fthl17e","83457"
"47998548","FTHL17","53940","Fthl17e","83457"
"47998549","DNAJC3","5611","Dnajc3","100037258"
"47998550","CD81","975","Cd81","12520"
"47998551","PIM2","11040","Pim2","18715"
"47998552","CD74","972","Cd74","16149"
"47998553","SPTB","6710","Sptb","20741"
"47998554","HSPE1","3336","Hspe1-rs1","628438"
"47998555","HSPE1","3336","Hspe1","15528"
"47998556","CTNNBIP1","56998","Ctnnbip1","67087"
"47998557","FZD9","8326","Fzd9","14371"
"47998558","EDN1","1906","Edn1","13614"
"47998559","PDP2","57546","Pdp2","382051"
"47998560","ATOH7","220202","Atoh7","53404"
"47998561","FECH","2235","Fech","14151"
"47998562","FGF4","2249","Fgf4","14175"
"47998563","ROBO2","6092","Robo2","268902"
"47998564","HMX3","340784","Hmx3","15373"
"47998565","PAX5","5079","Pax5","18507"
"47998566","PAX8","7849","Pax8","18510"
"47998567","PAX2","5076","Pax2","18504"
"47998568","PAX6","5080","Pax6","18508"
"47998569","NOS1","4842","Nos1","18125"
"47998570","FEZF2","55079","Fezf2","54713"
"47998571","CYP19A1","1588","Cyp19a1","13075"
"47998572","CLDN7","1366","Cldn7","53624"
"47998573","WNT3A","89780","Wnt3a","22416"
"47998574","LIMA1","51474","Lima1","65970"
"47998575","HLA-DRB1","3123","H2-Eb2","381091"
"47998575","HLA-DRB3","3125","H2-Eb2","381091"
"47998575","HLA-DRB4","3126","H2-Eb2","381091"
"47998575","HLA-DRB5","3127","H2-Eb2","381091"
"47998576","HLA-DQB1","3119","H2-Ab1","14961"
"47998576","HLA-DQB2","3120","H2-Ab1","14961"
"47998577","HLA-DOB","3112","H2-Ob","15002"
"47998578","HLA-DRB1","3123","H2-Eb1","14969"
"47998578","HLA-DRB3","3125","H2-Eb1","14969"
"47998578","HLA-DRB4","3126","H2-Eb1","14969"
"47998578","HLA-DRB5","3127","H2-Eb1","14969"
"47998579","STAR","6770","Star","20845"
"47998580","ATP1B3","483","Atp1b3","11933"
"47998581","ATP1B2","482","Atp1b2","11932"
"47998582","ATP1B1","481","Atp1b1","11931"
"47998583","SOX9","6662","Sox9","20682"
"47998584","PLP1","5354","Plp1","18823"
"47998585","CSF1R","1436","Csf1r","12978"
"47998586","AOX3P","107126360","Aox3","71724"
"47998588","AOX2P","344454","Aox2","213043"
"47998589","AOX1","316","Aox1","11761"
"47998590","LBX2","85474","Lbx2","16815"
"47998591","SUPT5H","6829","Supt5","20924"
"47998592","ARNT2","9915","Arnt2","11864"
"47998593","EPHA4","2043","Epha4","13838"
"47998594","ATP1A1","476","Atp1a1","11928"
"47998595","ATP1A3","478","Atp1a3","232975"
"47998596","HTATIP2","10553","Htatip2","53415"
"47998597","NRF1","4899","Nrf1","18181"
"47998598","VSX2","338917","Vsx2","12677"
"47998599","EOMES","8320","Eomes","13813"
"47998600","S1PR1","1901","S1pr1","13609"
"47998601","ALAS2","212","Alas2","11656"
"47998602","DCN","1634","Dcn","13179"
"47998603","HSD17B8","7923","Hsd17b8","14979"
"47998604","TAPBP","6892","Tapbp","21356"
"47998605","DAXX","1616","Daxx","13163"
"47998606","ZBTB22","9278","Zbtb22","81630"
"47998607","OPRM1","4988","Oprm1","18390"
"47998608","NTRK2","4915","Ntrk2","18212"
"47998609","NTRK3","4916","Ntrk3","18213"
"47998610","CTBP1","1487","Ctbp1","13016"
"47998611","CTBP2","1488","Ctbp2","13017"
"47998612","RGL2","5863","Rgl2","19732"
"47998613","RPA2","6118","Rpa2","19891"
"47998614","MDK","4192","Mdk","17242"
"47998615","PRSS1","5644","Try10","436522"
"47998615","PRSS2","5645","Try10","436522"
"47998615","PRSS3P2","154754","Try10","436522"
"47998616","PRSS1","5644","Prss1l","436523"
"47998616","PRSS2","5645","Prss1l","436523"
"47998616","PRSS3P2","154754","Prss1l","436523"
"47998617","PRSS1","5644","Prss3l","100040233"
"47998617","PRSS2","5645","Prss3l","100040233"
"47998617","PRSS3P2","154754","Prss3l","100040233"
"47998619","PRSS1","5644","Prss3","22073"
"47998619","PRSS2","5645","Prss3","22073"
"47998619","PRSS3P2","154754","Prss3","22073"
"47998620","PRSS1","5644","Prss1","114228"
"47998620","PRSS2","5645","Prss1","114228"
"47998620","PRSS3P2","154754","Prss1","114228"
"47998621","PRSS1","5644","Try5","103964"
"47998621","PRSS1","5644","Try5","103964"
"47998621","PRSS2","5645","Try5","103964"
"47998621","PRSS2","5645","Try5","103964"
"47998621","PRSS3","5646","Try5","103964"
"47998621","PRSS3","5646","Try5","103964"
"47998621","PRSS3P2","154754","Try5","103964"
"47998621","PRSS3P2","154754","Try5","103964"
"47998622","PRSS2","5645","Prss2","22072"
"47998625","PRSS1","5644","Try4","22074"
"47998625","PRSS2","5645","Try4","22074"
"47998625","PRSS3","5646","Try4","22074"
"47998625","PRSS3P2","154754","Try4","22074"
"47998626","CTSD","1509","Ctsd","13033"
"47998627","SIX4","51804","Six4","20474"
"47998628","SIX5","147912","Six5","20475"
"47998629","MAPK8","5599","Mapk8","26419"
"47998630","MAPK14","1432","Mapk14","26416"
"47998631","MAP2K6","5608","Map2k6","26399"
"47998632","GCG","2641","Gcg","14526"
"47998633","GDNF","2668","Gdnf","14573"
"47998634","GFRA1","2674","Gfra1","14585"
"47998635","FOXC1","2296","Foxc1","17300"
"47998636","AGXT","189","Agxt","11611"
"47998637","SLIT2","9353","Slit2","20563"
"47998638","SLIT3","6586","Slit3","20564"
"47998639","OR4B1","119765","Or4b1","258987"
"47998640","OR2A12","346525","Or2a12","258292"
"47998641","OR8B12","219858","Or8b12c","258883"
"47998642","OR1E1","8387","Or1e21","259027"
"47998642","OR1E2","8388","Or1e21","259027"
"47998642","OR1E3","8389","Or1e21","259027"
"47998643","OR5P2","120065","Or5p76","258734"
"47998645","OR1E2","8388","Or1e16","258923"
"47998645","OR1E3","8389","Or1e16","258923"
"47998647","OR8G5","219865","Or8g17","258742"
"47998648","OR8G1","26494","Or8g19","258826"
"47998651","OR7A10","390892","Or7a37","259044"
"47998651","OR7A5","26659","Or7a37","259044"
"47998653","OR7G2","390882","Or7g33","258908"
"47998654","OR1E1","8387","Or1e34","259009"
"47998654","OR1E2","8388","Or1e34","259009"
"47998654","OR1E3","8389","Or1e34","259009"
"47998655","OR8K5","219453","Or8k20","404324"
"47998656","OR1E1","8387","Or1e29","259011"
"47998656","OR1E2","8388","Or1e29","259011"
"47998656","OR1E3","8389","Or1e29","259011"
"47998658","OR1E1","8387","Or1e33","259010"
"47998658","OR1E2","8388","Or1e33","259010"
"47998658","OR1E3","8389","Or1e33","259010"
"47998659","OR1J2","26740","Or1j19","258946"
"47998660","OR1E2","8388","Or1e19","259026"
"47998660","OR1E3","8389","Or1e19","259026"
"47998661","OR5B2","390190","Or5b99","258700"
"47998662","OR1N2","138882","Or1n2","258941"
"47998663","OR1E1","8387","Or1e26","259025"
"47998663","OR1E2","8388","Or1e26","259025"
"47998663","OR1E3","8389","Or1e26","259025"
"47998665","OR4S2","219431","Or4s2b","329460"
"47998668","OR1N1","138883","Or1n1b","258943"
"47998669","OR5W2","390148","Or8w1","258833"
"47998670","OR1S1","219959","Or1s2","258991"
"47998670","OR1S2","219958","Or1s2","258991"
"47998671","OR5P3","120066","Or5p80","258769"
"47998675","OR8G5","219865","Or8g22","100503486"
"47998676","OR1N1","138883","Or1n1","258944"
"47998677","OR8B12","219858","Or8b12b","258744"
"47998678","OR7A10","390892","Or7a36","259074"
"47998678","OR7A5","26659","Or7a36","259074"
"47998678","OR7C1","26664","Or7a36","259074"
"47998679","OR4B1","119765","Or4b1b","258982"
"47998680","OR2A25","392138","Or2a25","258990"
"47998682","OR1E1","8387","Or1e1","258925"
"47998682","OR1E2","8388","Or1e1","258925"
"47998682","OR1E3","8389","Or1e1","258925"
"47998683","OR4C15","81309","Or4c115","258902"
"47998684","OR5P2","120065","Or5p58","258728"
"47998685","OR4S2","219431","Or4s2","404399"
"47998686","OR9I1","219954","Or9i14","258792"
"47998689","OR1E2","8388","Or1e1c","258924"
"47998689","OR1E3","8389","Or1e1c","258924"
"47998690","OR1E1","8387","Or1e22","259024"
"47998690","OR1E2","8388","Or1e22","259024"
"47998690","OR1E3","8389","Or1e22","259024"
"47998692","OR8K5","219453","Or8k18","259018"
"47998693","OR5B3","441608","Or5b106","258684"
"47998694","OR5B3","441608","Or5b95","258693"
"47998695","OR1E1","8387","Or1e35","259007"
"47998695","OR1E2","8388","Or1e35","259007"
"47998695","OR1E3","8389","Or1e35","259007"
"47998696","OR8G5","219865","Or8g21","258741"
"47998697","OR1E1","8387","Or1e32","259008"
"47998697","OR1E2","8388","Or1e32","259008"
"47998697","OR1E3","8389","Or1e32","259008"
"47998698","OR4B1","119765","Or4b1d","18331"
"47998700","OR7G2","390882","Or7g20","257872"
"47998701","OR1L4","254973","Or1l4b","227794"
"47998702","OR2A1","346528","Or2a51","258647"
"47998702","OR2A42","402317","Or2a51","258647"
"47998703","OR7G1","125962","Or7g27","258249"
"47998703","OR7G2","390882","Or7g27","258249"
"47998704","OR8G1","26494","Or8g20","18343"
"47998707","OR1E1","8387","Or1e31","258236"
"47998707","OR1E2","8388","Or1e31","258236"
"47998707","OR1E3","8389","Or1e31","258236"
"47998709","OR1E1","8387","Or1e17","18321"
"47998709","OR1E2","8388","Or1e17","18321"
"47998709","OR1E3","8389","Or1e17","18321"
"47998710","OR8G1","26494","Or8g32","258046"
"47998711","OR8D1","283159","Or8d1","18324"
"47998713","OR7G3","390883","Or7g19","258075"
"47998714","OR1L4","254973","Or1l4","258656"
"47998714","OR1L6","392390","Or1l4","258656"
"47998715","OR1I1","126370","Or1i2","257883"
"47998717","OR7A17","26333","Or7a41","18357"
"47998717","OR7A2P","390894","Or7a41","18357"
"47998717","OR7A5","26659","Or7a41","18357"
"47998718","OR2A1","346528","Or2a57","18346"
"47998718","OR2A42","402317","Or2a57","18346"
"47998721","OR2A14","135941","Or2a54","258649"
"47998722","OR2A4","79541","Or2a7","18310"
"47998722","OR2A7","401427","Or2a7","18310"
"47998725","OR4A16","81327","Or4a80","258370"
"47998725","OR4A5","81318","Or4a80","258370"
"47998725","OR4A8","81315","Or4a80","258370"
"47998727","OR4C45","403257","Or4c126","258466"
"47998728","OR8B8","26493","Or8b8","258310"
"47998729","OR1M1","125963","Or1m1","18322"
"47998731","OR4K15","81127","Or4k15","258316"
"47998732","OR5AU1","390445","Or5au1","258420"
"47998734","OR1Q1","158131","Or1q1","258616"
"47998735","OR9Q1","219956","Or9q1","258097"
"47998736","OR1L8","138881","Or1l8","258618"
"47998737","OR1E1","8387","Or1e30","258344"
"47998737","OR1E2","8388","Or1e30","258344"
"47998737","OR1E3","8389","Or1e30","258344"
"47998738","OR8G1","26494","Or8g23","258431"
"47998739","OR8G1","26494","Or8g18","257959"
"47998742","OR4K15","81127","Or4k15b","258314"
"47998743","OR2A1","346528","Or2a20","258366"
"47998743","OR2A42","402317","Or2a20","258366"
"47998744","OR1E1","8387","Or1e25","193053"
"47998744","OR1E2","8388","Or1e25","193053"
"47998744","OR1E3","8389","Or1e25","193053"
"47998745","OR8G1","26494","Or8g30","257912"
"47998747","OR7G3","390883","Or7g12","258074"
"47998749","OR8G1","26494","Or8g34","258328"
"47998751","OR8G2P","26492","Or8g2","258606"
"47998751","OR8G3","387815","Or8g2","258606"
"47998752","OR4K15","81127","Or4k15c","258313"
"47998753","OR1F12P","442179","Or1f12","258280"
"47998754","OR1E1","8387","Or1e23","258435"
"47998754","OR1E2","8388","Or1e23","258435"
"47998754","OR1E3","8389","Or1e23","258435"
"47998755","OR8D1","283159","Or8d23","258269"
"47998757","OR10R2","343406","Or10b1","258224"
"47998757","OR10T2","128360","Or10b1","258224"
"47998758","OR1J4","26219","Or1j4","258620"
"47998761","OR5AK2","390181","Or5ak25","258426"
"47998761","OR5AK3P","81228","Or5ak25","258426"
"47998762","OR8D1","283159","Or8d1b","258433"
"47998764","OR1J1","347168","Or1j1","18328"
"47998765","OR8G1","26494","Or8g4","258086"
"47998767","KLF17","128209","Klf17","75753"
"47998768","DVL3","1857","Dvl3","13544"
"47998769","TTC7A","57217","Ttc7","225049"
"47998770","NACC1","112939","Nacc1","66830"
"47998771","SIAH1","6477","Siah1b","20438"
"47998772","SIAH1","6477","Siah1a","20437"
"47998773","PARD6G","84552","Pard6g","93737"
"47998774","RND3","390","Rnd3","74194"
"47998775","CDK7","1022","Cdk7","12572"
"47998776","PAPSS2","9060","Papss2","23972"
"47998777","CLDN4","1364","Cldn13","57255"
"47998778","CLDN1","9076","Cldn1","12737"
"47998779","CLDN11","5010","Cldn11","18417"
"47998780","CLDN12","9069","Cldn12","64945"
"47998781","HIP1","3092","Hip1","215114"
"47998782","BAZ1B","9031","Baz1b","22385"
"47998783","OR2AT4","341152","Or2at4","259066"
"47998784","OR4C15","81309","Or4c122","258973"
"47998785","OR4C15","81309","Or4c118","258894"
"47998786","OR4C15","81309","Or4c114","258901"
"47998787","OR4C15","81309","Or4c113","258815"
"47998788","OR4C15","81309","Or4c109","258899"
"47998789","OR4C15","81309","Or4c112","258903"
"47998790","OR4D1","26689","Or4d1","258407"
"47998791","OR4C15","81309","Or4c110","258451"
"47998792","OR4A16","81327","Or4a76","257984"
"47998793","HAP1","9001","Hap1","15114"
"47998794","GTF2IRD1","9569","Gtf2ird1","57080"
"47998795","EIF4H","7458","Eif4h","22384"
"47998796","CRX","1406","Crx","12951"
"47998797","NKX2-1","7080","Nkx2-1","21869"
"47998798","ANXA13","312","Anxa13","69787"
"47998799","MEIS3","56917","Meis3","17537"
"47998799","MEIS3P1","4213","Meis3","17537"
"47998799","MEIS3P2","257468","Meis3","17537"
"47998800","NCOA2","10499","Ncoa2","17978"
"47998801","VIPR2","7434","Vipr2","22355"
"47998802","DHFR","1719","Dhfr","13361"
"47998802","DHFR2","200895","Dhfr","13361"
"47998802","DHFRP1","573971","Dhfr","13361"
"47998803","GLRB","2743","Glrb","14658"
"47998804","GLRA4","441509","Glra4","14657"
"47998805","SIX2","10736","Six2","20472"
"47998806","SSR2","6746","Ssr2","66256"
"47998807","BAMBI","25805","Bambi","68010"
"47998808","DMD","1756","Dmd","13405"
"47998809","NFYA","4800","Nfya","18044"
"47998810","PBRM1","55193","Pbrm1","66923"
"47998811","PRRC2A","7916","Prrc2a","53761"
"47998812","BAG6","7917","Bag6","224727"
"47998813","EHMT2","10919","Ehmt2","110147"
"47998814","HMGA1","3159","Hmga1","15361"
"47998815","HMGA1","3159","Hmga1b","111241"
"47998816","UCP1","7350","Ucp1","22227"
"47998817","NR5A1","2516","Nr5a1","26423"
"47998818","PNPLA7","375775","Pnpla7","241274"
"47998819","CLIC3","9022","Clic3","69454"
"47998820","BCO1","53630","Bco1","63857"
"47998821","BCO2","83875","Bco2","170752"
"47998822","TWSG1","57045","Twsg1","65960"
"47998823","RPGRIP1L","23322","Rpgrip1l","244585"
"47998824","CP","1356","Cp","12870"
"47998825","CRY1","1407","Cry1","12952"
"47998826","MPZ","4359","Mpz","17528"
"47998827","ARF1","375","Arf1","11840"
"47998828","FH","2271","Fh1","14194"
"47998829","APOM","55937","Apom","55938"
"47998830","CDH3","1001","Cdh3","12560"
"47998831","CDH1","999","Cdh1","12550"
"47998832","UBE2I","7329","Ube2i","22196"
"47998833","IGF1","3479","Igf1","16000"
"47998834","GJA8","2703","Gja8","14616"
"47998835","NEUROD6","63974","Neurod6","11922"
"47998836","NEUROG3","50674","Neurog3","11925"
